time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-03-15 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-15 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,510.2099914550781,10,0.0
