datetime,portfolio_value,cash,return
2024-01-16 09:30:00-05:00,100000.0,100000.0,
2024-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-20 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-26 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-02 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-05 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-06 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-07 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-08 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-09 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-10 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-12 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-13 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-14 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-15 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-16 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-17 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-20 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-21 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-22 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-23 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-24 09:30:00-05:00,100000.0,100000.0,0.0
