datetime,portfolio_value,cash,return
2024-03-15 09:30:00-04:00,100000.0,100000.0,
2024-03-16 09:30:00-04:00,100000.0,94897.90008544922,0.0
2024-03-18 09:30:00-04:00,100053.85008544922,94913.85008544922,0.000538500854492252
2024-03-19 09:30:00-04:00,100035.35032958984,94913.85008544922,-0.00018489799086762737
2024-03-20 09:30:00-04:00,100071.55028076172,94913.85008544922,0.0003618715889193158
2024-03-21 09:30:00-04:00,100147.75023193359,94913.85008544922,0.0007614546887511064
2024-03-22 09:30:00-04:00,100134.94993896484,94913.85008544922,-0.00012781408408180095
2024-03-23 09:30:00-04:00,100134.94993896484,94913.85008544922,0.0
2024-03-25 09:30:00-04:00,100111.8499633789,94913.85008544922,-0.00023068844194773508
2024-03-26 09:30:00-04:00,100126.14989013672,94913.85008544922,0.0001428395016478401
2024-03-27 09:30:00-04:00,100130.95030517578,94913.85008544922,4.794366950422457e-05
2024-03-28 09:30:00-04:00,100145.95030517578,94913.85008544922,0.00014980383142559894
2024-03-29 09:30:00-04:00,100145.95030517578,94913.85008544922,0.0
