                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 108.77,                      0,                      0,                      0,                      0,                      0,                      0,                 127.42,                      0,             0.00054274,             0.00054274,             0.00054274
                      2,                      0,                 82.002,                      0,                      0,                      0,                      0,                      0,                      0,                 96.806,                      0,              0.0010622,              0.0010622,              0.0010622
                      3,                      0,                 66.224,                      0,                      0,                      0,                      0,                      0,                      0,                 91.259,                      0,              0.0015449,              0.0015449,              0.0015449
                      4,                      0,                 51.818,                      0,                      0,                      0,                      0,                      0,                      0,                  11723,                      0,               0.001502,               0.001502,               0.001502
                      5,                      0,                 38.927,                      0,                      0,                      0,                      0,                      0,                      0,                 54.735,                      0,               0.001447,               0.001447,               0.001447
                      6,                      0,                 28.629,                      0,                      0,                      0,                      0,                      0,                      0,                  46.54,                      0,              0.0013919,              0.0013919,              0.0013919
